Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"D&C 105:27-41"	"08/01/2013"	"08/02/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 106"	"08/02/2013"	"08/03/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 107:1-9"	"08/03/2013"	"08/04/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 107:10-22"	"08/04/2013"	"08/05/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 107:23-35"	"08/05/2013"	"08/06/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 107:36-52"	"08/06/2013"	"08/07/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 107:53-71"	"08/07/2013"	"08/08/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 107:72-84"	"08/08/2013"	"08/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 107:85-100"	"08/09/2013"	"08/10/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 108"	"08/10/2013"	"08/11/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 109:1-10"	"08/11/2013"	"08/12/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 109:11-25"	"08/12/2013"	"08/13/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 109:26-40"	"08/13/2013"	"08/14/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 109:41-54"	"08/14/2013"	"08/15/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 109:55-70"	"08/15/2013"	"08/16/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 109:71-80"	"08/16/2013"	"08/17/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 110:1-6"	"08/17/2013"	"08/18/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 110:7-16"	"08/18/2013"	"08/19/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 111"	"08/19/2013"	"08/20/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 112:1-14"	"08/20/2013"	"08/21/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 112:15-34"	"08/21/2013"	"08/22/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 113-114"	"08/22/2013"	"08/23/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 115:1-8"	"08/23/2013"	"08/24/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 115:9-19"	"08/24/2013"	"08/25/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 116-117"	"08/25/2013"	"08/26/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 118"	"08/26/2013"	"08/27/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 119-120"	"08/27/2013"	"08/28/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 121:1-12"	"08/28/2013"	"08/29/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 121:13-31"	"08/29/2013"	"08/30/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 121:32-46"	"08/30/2013"	"08/31/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 122"	"08/31/2013"	"09/01/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 123:1-7"	"09/01/2013"	"09/02/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 123:8-17"	"09/02/2013"	"09/03/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 124:1-3"	"09/03/2013"	"09/04/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 124:4-16"	"09/04/2013"	"09/05/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
